Tag,Title,Summary,Rating,Would Make Again,Link
recipe,Thai-Style Squid and Cucumber Salad,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",2.5,50%,/recipes/food/views/thai-style-squid-and-cucumber-salad
recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",4,100%,/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad
recipe,Lemon Salmon with Creamy Cucumber Salad,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",2.5,60%,/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad
recipe,Smashed Cucumber Salad with Hot Vinegar,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",0,0%,/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar
recipe,Sam's Spring Fattoush Salad,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,4,100%,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad
article,Everything You Don't Know About Electric Knives,The history isn't pretty.,,,/expert-advice/how-to-handle-electric-knife-article
recipe,Skirt Steak with Spicy Coconut Dressing,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,4,100%,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing
article,Weekly Meal Plan: March 11–15,"A Sunday frittata, impromptu Pu Pu, and a super-easy steak night.",,,/expert-advice/weekly-meal-plan-sunday-frittata-impromptu-pu-pu-and-a-super-easy-steak-night-article
recipe,Mango Toast with Hazelnut-Pepita Butter,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",0,0%,/recipes/food/views/mango-toast-with-hazelnut-pepita-butter
article,Weekly Meal Plan: April 8–12,"Zingy pineapple shrimp, sheet-pan tandoori chicken, and the world’s easiest enchiladas.",,,/recipes-menus/weekly-meal-plan-zingy-pineapple-shrimp-sheet-pan-tandoori-chicken-and-the-worlds-easiest-enchiladas-article
article,"Turn Veggies into Dinner with One of These ""Sauces"" ",They're the secret to our food editor's favorite quick and easy weeknight dinners.,,,/expert-advice/high-protein-sauces-for-vegetables-article
article,Weekly Meal Plan: September 3–7,Featuring sheet-pan chicken and so. many. cherry tomatoes.,,,/recipes-menus/weekly-meal-plan-sept-3-7-2018-article
article,This Chilled Cucumber-Avocado Soup Is the Easiest Summer Dinner I Know,It's cool yet spicy. Elegant yet easy. And perfect for warm-weather get-togethers.,,,/recipes-menus/this-chilled-cucumber-avocado-soup-is-the-easiest-summer-meal-i-know-article
article,"The Fastest Way to ""Hard-Boil"" a Huge Batch of Eggs Is to Steam Them",Stick with me here.,,,/expert-advice/the-fastest-way-to-hard-boil-a-huge-batch-of-eggs-article
recipe,Quick-Pickled Charred Vegetables,This technique is nothing short of amazing—even if you're finicky about your pickles.,4,100%,/recipes/food/views/quick-pickled-charred-grilled-vegetables
article,Weekly Meal Plan: January 28–February 1,"Savory beef-cheddar pies, mustard chicken, and a baked potato bar.",,,/recipes-menus/weekly-meal-plan-savory-beef-cheddar-pies-mustard-chicken-and-a-baked-potato-bar-article
recipe,Green Beans and Cucumbers with Miso Dressing,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",3.5,88%,/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing
article,"Watch Out Zester, We're Reaching for a New Microplane Tool ",Meet the ginger grater.,,,/expert-advice/microplane-ginger-grater-article
article,Weekly Meal Plan: August 27–31,"Grill-ahead dinners, hummus bowls, and an old-fashioned Tex-Mex taco night.",,,/recipes-menus/weekly-meal-plan-grill-ahead-dinners-and-easy-hummus-bowls-article
article,Weekly Meal Plan: April 15–19,It's so good you'll forget it's Tax Week.,,,/recipes-menus/weekly-meal-plan-lamb-meatballs-sheet-pan-salmon-and-mind-blowing-tofu-article
article,Weekly Meal Plan: May 13–17,"Herby shrimp, gingery chicken soup, and cheesesteak calzones.",,,/recipes-menus/weekly-meal-plan-herby-shrimp-gingery-chicken-soup-and-cheesesteak-calzones-article
article,Weekly Meal Plan: March 25–29,"Big-batch spiced pork, crunchy chicken, and four-ingredient chickpea flatbreads.",,,/recipes-menus/weekly-meal-plan-big-batch-spiced-pork-crunchy-chicken-and-burst-tomato-sauce-article
article,Oven-Roasted Tofu Is the Vegetarian Main We've Been Waiting For,"Instead of sautéeing neat squares of tofu, try tearing it into rough, craggy pieces and roasting until browned and crispy.",,,/ingredients/oven-roasted-tofu-is-the-vegetarian-main-we-need-article
article,Store Cucumbers Like a Pro,Soggy spoiled cucumbers are sad: avoid them forever by learning how to store cucumbers the right way.,,,/ingredients/how-to-store-cucumbers-article
article,This Soy Sauce is Better Than Anything You've Had from the Grocery Store,It's imported from Japan—and available on Amazon.,,,/expert-advice/this-is-the-best-soy-sauce-article
article,Weekly Meal Plan: January 14–18,"Citrus shrimp, slow-cooker pork shoulder, and breakfast for dinner.",,,/recipes-menus/weekly-meal-plan-citrus-shrimp-slow-cooker-pork-shoulder-and-breakfast-for-dinner-article
article,Our 7 Favorite Ways to Cook Green Beans,"With these methods for roasting, blanching, grilling, and more, you'll never have to eat bland, overcooked green beans again.",,,/ingredients/how-to-prepare-and-cook-green-beans-article
article,The Case for the Cumin Seed,"The versatility of the cumin is practically unmatched in the spice world. But if you're buying the pre-ground stuff, you're only getting half the story.",,,/ingredients/the-case-for-the-cumin-seed-article
article,Weekly Meal Plan: January 7–12,You’ll have time to put up your feet every night this week.,,,/expert-advice/weekly-meal-plan-simply-roasted-salmon-sheet-pan-sausage-and-life-changing-polenta-article
article,7 Last-Minute Gifts for Food Lovers,"Dearest procrastinators, we've got your back!",,,/holidays-events/last-minute-food-gifts-article
article,The Slice-and-Spice Pork Tenderloin You Freeze Before You Prep,"For this month's Sunday Stash, we're putting together several meals worth of sliced-and-spiced pork that's ready to be turned into dinner at a moment's notice.",,,/expert-advice/big-patch-sliced-pork-tenderloin-freeze-before-prep-article
article,9 Japanese Cookware Gifts That Are All About Form and Function,"Beautiful cast-iron pans, earthenware pots, and more gifts for classy cooks.",,,/expert-advice/japanese-cookware-gifts-article
article,Tested and Approved: The Best Juicers,We scrubbed the pulp from seven different juicers to find the best one.,,,/expert-advice/best-juicers-breville-kuvings-article
article,Breakfast Snack Trays Are Your New Brunch Staple,It's the quickest way to feed all those hungry relatives staying at your house.,,,/expert-advice/breakfast-snack-trays-are-your-new-brunch-staple-article
article,Weekly Meal Plan: June 18–22,"Roast chicken with white beans, swordfish steaks, avocado soba noodles.",,,/recipes-menus/weekly-meal-plan-roast-chicken-with-white-beans-swordfish-steaks-avocado-soba-noodles-article
article,Weekly Meal Plan: July 16–20,A week of paleo-friendly dinners.,,,/recipes-menus/weekly-meal-plan-for-july-16-20-a-week-of-paleo-friendly-dinners-article
article,Weekly Meal Plan: October 29–November 2,We’ve got plenty of tricks—and treats—in store for you.,,,/recipes-menus/weekly-meal-plan-a-super-easy-week-with-pork-chops-noodles-and-pizza-article
recipe,Crispy Fish Fillets with Cucumber Ceviche,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",4,100%,/recipes/food/views/fish-milanese-with-cucumber-ceviche
article,Teach Your Kids to Make Their Own Lunch: Part Two,"From grocery shopping to prep work, here's how you and your kids can nail the details.",,,/expert-advice/teach-your-kids-to-make-their-own-lunch-part-two-article
article,Weekly Meal Plan: July 9–13,Make-ahead meals (and a taco night!) for summer.,,,/recipes-menus/weekly-meal-plan-make-ahead-meals-taco-night-for-summer-article
article,The Best Way to Clear Out All Those Lingering Condiments in Your Fridge,Stop hanging on to that last spoonful of hot chili jam from three years ago—it's time for it to go.,,,/ingredients/the-best-way-to-use-up-all-those-lingering-condiments-in-your-fridge-article
article,Why You Should Grill Your Vegetables Before Pickling Them,You've had pickles with barbecue. But what about a barbecued pickle?,,,/expert-advice/why-grill-your-vegetables-before-pickling-them-article
article,5 Ways to Make Melon Savory,"Watermelons, cantaloupes, and honeydews lean sweet—and that's why they play so well with salt, vinegar, and cheese.",,,/ingredients/how-to-cook-melon-savory-article
article,The Best Mayonnaise Money Can Buy,The best mayo is just one swipe away.,,,/ingredients/best-mayonnaise-grocery-store-article
article,How to Snack on Thanksgiving So You Don't Get Hangry,We're here to save you with a snacking strategy.,,,/holidays-events/this-is-your-official-thanksgiving-snacking-strategy-article
recipe,Thai-Style Pineapple-Coconut Rice,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",3,100%,/recipes/food/views/thai-style-pineapple-coconut-rice
article,Weekly Meal Plan: September 17–21,A week of easy meals that take you from summer into fall.,,,/recipes-menus/weekly-meal-plan-corn-tomatoes-and-lots-of-butternut-squash-article
article,How to Eat Radishes: 10 Radish Recipes to Try Tonight,"Crunchy, spicy, and not too shabby to look at, radishes are great on their own. But these 10 recipes help you put the radishes to work in salads, tacos, and more.",,,/expert-advice/how-to-eat-radishes-article
article,"Family Dinner Wins: 5 Easy, Back-Pocket Meals That Save Us From Takeout","The last-minute recipes born of necessity—and, occasionally, desperation—that end up becoming family favorites.",,,/expert-advice/family-dinner-wins-easy-back-pocket-meals-article
article,The Adult Lunch Boxes That Will Finally Motivate You to Pack a Lunch,And stop spending 20 bucks a day on a mediocre salad.,,,/expert-advice/the-best-adult-lunch-boxes-bowls-and-bento-sets-article
article,"The Best Mixing Bowls for Giant Salads, Movie Night Popcorn, and Cookie Dough","We tested top-rated sets of mixing bowls—including glass, stainless steel, and plastic varieties—to find the best one for everyday kitchen tasks.",,,/expert-advice/the-best-mixing-bowls-product-review-article
article,The Easiest Way to Make Lunch at Your Desk,Don't have time to meal prep? You can make a salad right at your desk with these handy tricks.,,,/expert-advice/how-to-assemble-a-desk-side-salad-article
article,Weekly Meal Plan: June 4–8,"Chicken shawarma, herby tuna pasta, and mapo tofu.",,,/recipes-menus/weekly-meal-plan-shawarma-chicken-herby-tuna-pasta-and-mapo-tofu-article
article,30 Best Burger Recipes (and Tips on How to Cook Them to Perfection),"Secrets from grilling experts on how to make the best burger, ever.",,,/recipes-menus/best-burger-recipes-article
article,The Best Subscription Boxes That Make Great Food Gifts,"It doesn't get much better than monthly deliveries of cheese, coffee, and pasta.",,,/expert-advice/food-subscription-box-gift-ideas-article
article,"Nachos Are a Magical, Kid-Friendly Way to Repurpose Leftovers","Last night's dinner is tonight's topping for crispy, cheesy nachos.",,,/expert-advice/nachos-are-a-magical-kid-friendly-way-to-repurpose-leftovers-article
article,Weekly Meal Plan: March 19–23,"Lemony soup, fast tacos, and a salad that's secretly a pizza.",,,/recipes-menus/weekly-meal-plan-starring-lemony-soup-fast-tacos-and-a-salad-thats-secretly-a-pizza-article
article,The Best Pickles Are Homemade Pickles,Gather your Kirby cukes and get started.,,,/expert-advice/how-to-can-pickles-weekend-warrior-article
article,6 Ways to Use the Dull Side of Your Chef's Knife,The dull side of the knife is actually pretty interesting.,,,/expert-advice/how-to-use-back-of-chefs-knife-article
article,Weekly Meal Plan: June 11–15,"Chipotle-lime steak, salmon burgers, and peanutty rice noodles.",,,/expert-advice/weekly-meal-plan-chipotle-lime-steak-salmon-burgers-and-peanut-rice-noodles-article
article,The Bowl That Makes Every Salad Better,Toss your salad like a pro.,,,/expert-advice/youre-gonna-need-a-bigger-bowl-salad-article
article,Big-Batch Roasted Kale Is a Dinnertime Savior,Even though my kids won't eat it.,,,/recipes-menus/big-batch-roasted-kale-is-a-dinnertime-savior-sunday-stash-article
article,Everything You Need for At-Home Canning,We talked to an expert so you can be someone who cans at home.,,,/expert-advice/everything-you-need-for-canning-at-home-article
recipe,Peanut Noodles with Chicken and Snap Peas,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",3.5,100%,/recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas
article,Weekly Meal Plan: May 28–June 1,"Barbecue pork, hot-honey chicken, and a chef's salad upgrade.",,,/holidays-events/weekly-meal-plan-bbq-pork-hot-honey-chicken-and-a-chefs-salad-upgrade-article
recipe,Thai Beef Salad,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",4,100%,/recipes/food/views/thai-beef-salad
recipe,Smashed Cucumbers and Radishes in Yogurt Sauce,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",0,0%,/recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce
article,Weekly Meal Plan: March 5–9,"Filipino pork, crispy fish, and a ton of easy-does-it tips.",,,/recipes-menus/weekly-meal-plan-filipino-pork-and-a-ton-of-easy-does-it-tips-article
article,How to Make a Cheese Plate for Yourself—and Why That's a Powerful Idea,"It's the easiest, most elegant solo dinner there is.",,,/expert-advice/how-to-make-a-cheese-plate-for-one-article
video,Green Chicken Meatballs,"This big batch of meatballs is inspired by kofta, the flavor-packed ground meat patties popular throughout the Middle East and North Africa. Stash them in your freezer so you always have the building blocks of a great meal. Try them simmered in tomato sauce, served over grains or greens, or packed into pita sandwiches with cucumbers, red onion, mint, and a tangy yogurt sauce. Get the recipe: http://www.epicurious.com/recipes/food/views/herby-chicken-kofta-meatballs",,,http://video.epicurious.com/watch/green-chicken-meatballs
article,"The Best Vegetarian Cookbooks, According to the Epicurious Staff","Recipe collections that'll get you excited about vegetables, from seed to stem.",,,/expert-advice/best-vegetarian-cookbooks-article
article,What to Pack for Lunch When Your Kid Won't Eat Sandwiches,A nutritionist tells us what she puts in her kids' lunchboxes.,,,/expert-advice/what-to-pack-for-lunch-when-your-kid-wont-eat-sandwiches-article
article,A Breastfeeding Mama’s Snacking Survival Guide,"At home or on the road, a smartly stocked grab bag can make all the difference.",,,/expert-advice/a-breastfeeding-mamas-snacking-survival-guide-article
article,My Kid Is a Vegetarian—Now What?,Compromising at the dinner table might not be as difficult as you think.,,,/expert-advice/my-kid-is-a-vegetarian-article
article,Weekly Meal Plan: Easy Post-Thanksgiving Family Dinners ,"Last week was full of cooking—this week, slow it down with some easy favorites.",,,/expert-advice/weekly-meal-plan-easy-post-thanksgiving-family-dinners-article
gallery,"41 Crisp, Crunchy, and Cooling Cucumber Recipes",Nothing's cooler than a cucumber.,,,/recipes-menus/12-refreshing-ways-to-eat-cucumbers-gallery
article,"Weekly Meal Plan: 5 Fast, Family-Friendly Dinners","From a veggie-packed noodle bowl to grilled cheese tacos, these kid-approved recipes can be made in 30 minutes or less.",,,/recipes-menus/weekly-meal-plan-family-friendly-kids-dinners-article
recipe,Chicken Kofta Meatballs,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,3.5,88%,/recipes/food/views/herby-chicken-kofta-meatballs
recipe,Teriyaki Steak Skewers with Asian-Style Greens,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",1,0%,/recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens
article,How to Throw a Dinner Party Without Actually Cooking Anything,"For a quick, easy, and casual after-work dinner party, assemble ingredients from the grocery store into an elegant meal.",,,/expert-advice/no-cook-30-minute-dinner-party-menu-article
article,The Best Gifts for Your Adult Siblings,Because sibling rivalry should be all about who scored the better present.,,,/holidays-events/gift-guide-adult-siblings-article
recipe,"Yogurt with Raisins, Cucumber, and Walnuts","Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",0,0%,/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts
article,This Week's Meal Plan: 5 Days of Easy Grill-Friendly Dinners,"Spend some quality time with your grill this week making simple summer meals like grilled sausage with greens and lemon, Thai tofu and green bean salad, and grilled flatbread with smoked trout.",,,/recipes-menus/weekly-meal-plan-5-days-of-easy-grill-friendly-dinners-article
article,How Having a Child With Food Allergies Changed the Way I Cook Dinner,"After her son was diagnosed with food allergies, this food-loving parent had to learn how to bring the world to him, one meal at a time.",,,/expert-advice/how-having-a-child-with-food-allergies-changed-the-way-i-cook-dinner-article
article,Here's Why My Kids Eat Indian Food Almost Every Night,Chicago-based cookbook author Anupy Singla changed careers in order to change her family's eating habits. It worked.,,,/expert-advice/why-my-kids-eat-indian-food-almost-every-night-article
article,This Week's Meal Plan: Cool Dinners for Hot Nights,"Too hot outside to eat anything warm? Make chilled corn soup, a summery salmon salad, and cool, spicy noodles instead.",,,/recipes-menus/this-weeks-meal-plan-cool-dinners-for-hot-nights-article
article,5 Easy Weeknight Recipes to Get You Through the First Week of School,Put down that take-out menu. Sail through the school week with these family-friendly recipes that are just as fast and much more delicious.,,,/recipes-menus/your-seriously-easy-back-to-school-dinner-plan-article
article,The Number One Reason You Don't Feel Like Cooking,"No, it's not because you're lazy.",,,/expert-advice/reason-you-dont-feel-like-cooking-how-to-cook-more-often-article
article,The Central-Asian Herb Combo I Can't Get Enough Of,"It's unexpected, it's assertive, and it's remarkably delicious.",,,/ingredients/uzbek-cuisine-herb-combo-dill-and-cilantro-article
article,"Step Aside, Avo Toast: Avocado Pickles Are a Thing",And they're super easy to make.,,,/expert-advice/avocado-pickles-are-the-newest-avo-trend-article
article,The Secret Peanut Sauce of a Seven-Year-Old Chef,It's time to share the magic with your kids.,,,/recipes-menus/kid-friendly-peanut-sauce-essay-recipe-article
recipe,Favorite Dill Pickles,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",3.5,71%,/recipes/food/views/fast-favorite-garlic-dill-pickles-230707
article,This is What Happens When Kids Choose the Meal Plan for the Week,"No, you won't be stuck eating chicken fingers and hot dogs all week. But you will probably eat a lot of noodles.",,,/expert-advice/kids-plan-our-meals-for-a-week-article
article,A Weekly Meal Plan That's All About Sandwiches,"Piling ingredients onto bread is the quickest, most satisfying way to achieve a full week of dinners.",,,/recipes-menus/a-weekly-meal-plan-thats-all-about-sandwiches-article
article,"This Week's Meal Plan: Salmon Salad Niçoise, Grilled Corn Quesadillas, and Hoisin-Glazed Pork Chops",A week's worth of easy summer dinners.,,,/recipes-menus/this-weeks-meal-plan-salmon-salad-steak-and-a-time-saving-strategy-article
article,5 Store-Bought Salad Dressings That Are Actually Worth Eating,There's no shame in a premade dressing when you're in a pinch. Just make sure you pick the right one.,,,/expert-advice/best-store-bought-salad-dressing-article
article,This French Summer Dinner Party Involves a Lot of Mayonnaise,"Make le grand aioli (aka aioli served with lots of things to dip in it) your new favorite easy, festive, tres chic way to entertain this summer.",,,/expert-advice/how-to-make-a-french-grand-aioli-for-summer-article
article,This Week's Meal Plan: 5 Springy Vegetarian Dinners,"Embrace the greens of spring with a week's worth of green beans, asparagus, broccoli, English peas, and spring greens.",,,/recipes-menus/weekly-meal-plan-vegetarian-spring-dinners-article
article,Make a Savory Pancake Dinner Any Kid Will Eat,A whole new take on pancakes for dinner.,,,/expert-advice/how-to-make-savory-pancakes-any-kid-will-eat-article
recipe,Kale and Cucumber Salad with Ginger Dressing,"A Vietnamese-inspired ginger dressing and plenty of cooling, crunchy cucumbers takes kale salad from ""not now"" to ""hey, wow!""",3,73%,/recipes/food/views/kale-and-cucumber-salad-with-roasted-ginger-dressing
article,29 Recipes We Want to Cook in July,"Corn, watermelon, and tomatoes—oh my.",,,/expert-advice/29-recipes-we-want-to-cook-in-july-article
article,18 High-Protein Nut-Free Snacks for Kids,"Skippy's not an option? Here are some of our favorite easy, protein-packed snacks made without peanuts or tree nuts.",,,/recipes-menus/high-protein-nut-free-snacks-for-kids-article
article,9 Groceries to Buy Every Week if You Have Kids,"Besides that lifetime supply of instant mac and cheese, of course.",,,/expert-advice/groceries-to-buy-for-kids-every-week-if-youre-a-parent-article
article,How to Turn Slow Cooker Chicken Into 12 Easy Dinners,"With this dish in your freezer, tacos, grain bowls, pasta bakes, and more are all less than 10 minutes away.",,,/expert-advice/how-to-make-slow-cooker-shredded-chicken-into-12-easy-dinners-article
article,This Pork Tenderloin Dinner Is 99% Guaranteed to Make Everyone in the Family Happy,It can go from simple to spicy in a matter of minutes.,,,/recipes-menus/kid-friendly-easy-pork-tenderloin-recipe-for-the-whole-family-article
article,5 Genius Ways to Upgrade Your Favorite Foods,Unexpected updates will make you love these tried-and-true food pairings even more,,,/sponsored/5-genius-ways-to-upgrade-your-favorite-foods-article
recipe,"Chilled Beet Soup with Buttermilk, Cucumbers, and Dill (Chlodnik)",This classic Polish soup is the ultimate in summer refreshment.,3.5,87%,/recipes/food/views/chilled-beet-soup-with-buttermilk-cucumbers-and-dill-chlodnik
article,3 Winter Panzanella Recipes,Turns out bread salads are delicious all year 'round.,,,/recipes-menus/winter-panzanella-bread-salad-recipes-article
article,10 Real-Life Commandments for Cooking for Kids,"It's hard to put a healthy, delicious meal that everybody likes on the table. How do we do it? By always, always (uh, sometimes) following these guiding principles.",,,/expert-advice/cooking-for-kids-rules-for-parents-article
article,The Two-Second Trick for Avoiding Bitter Cucumbers,This will change your salads forever.,,,/expert-advice/trick-for-avoiding-bitter-cucumbers-article
article,The Kid-Friendly Recipe That Makes Weekday Meals a Breeze,Freeze a batch of these meaty little patties over the weekend and the whole family can eat them for lunches and dinners all week long.,,,/expert-advice/sunday-stash-easy-make-ahead-beef-and-mushroom-patties-freezer-meals-cooking-for-kids-article
article,This Polish Take on Pizza Is Everything,"Zapiekanka is unlike any pizza in America—or Italy, for that matter. It's also irresistible.",,,/expert-advice/how-to-make-zapiekanka-polish-french-bread-pizza-article
article,The Art of Making Delicious Salsa,Recipes and tips from the authors of Mexican Food Made Easy,,,/holidays-events/the-art-of-making-delicious-salsa-article
article,6 Healthy Pre-Thanksgiving Meals,"You’ve got a big meal ahead of you, so keep it light and lean in the weekend before.",,,/recipes-menus/healthy-thanksgiving-weekend-recipes-article
article,"This Hot-Pink, Ultra-Refreshing Beet Soup Is Your New Summer Staple",Crunchy cucumbers. Tangy buttermilk. And plenty of pickle juice. This Polish soup deserves to be on your table this summer.,,,/expert-advice/how-to-make-chlodnik-polish-cold-beet-soup-recipe-article
article,Seven Holiday Gifts to Get From Whole Foods,From olive oil to orange bitters: gifts you can grab on your next grocery run.,,,/expert-advice/how-to-buy-holiday-gifts-at-whole-foods-article
article,How Pantry Cooking Helped Me Get Through #Cook90,"Cooking three meals a day? The only way to do it is with a well-stocked pantry of fresh, versatile ingredients.",,,/expert-advice/easy-meal-prep-pantry-recipes-cook90-article
recipe,"Flatbread with Fava Beans, Cucumbers, and Burrata",Fava beans most likely require a trip to a farmers’ market and take a while to peel. Sugar snap peas cut into bite-size pieces are a fine alternative.,4,100%,/recipes/food/views/flatbread-with-fava-beans-cucumbers-and-burrata
article,4 Clean and Green Dinners for Cold Weather,"Our newest leafy-green recipes will have you ooing and awing at their vibrant, verdant beauty.",,,/recipes-menus/green-healthy-dinners-recipes-article
article,4 Crunchy Salads for Fall,"Get out the mandoline, it's time for salad.",,,/recipes-menus/crunchy-salads-recipes-for-fall-article
article,Watch How Easy It Is to Make This Moroccan-Inspired Steak Salad,The secret's in the sauce.,,,/recipes-menus/watch-how-easy-it-is-to-make-moroccan-inspired-steak-salad-with-chermoula-article
article,The Absolute Easiest Way to Make Homemade Pickles,Seriously: it doesn't get simpler than this.,,,/expert-advice/how-to-make-pickles-at-home-the-easy-way-article
recipe,Moroccan Skirt Steak Salad With Chermoula,"A fragrant, herbaceous sauce acts as both a marinade and a dressing for this pretty, Moroccan-inspired salad.",3,75%,/recipes/food/views/moroccan-skirt-steak-salad-with-chermoula
article,The Cool Way to Make Chilled Soup Even Colder,Here's a chilling (and instant) solution to ultimate refreshment.,,,/expert-advice/how-to-make-cold-soup-colder-with-ice-in-summer-article
article,Weird and Wild Watermelon Pairings,Feta and tomatoes are only the beginning.,,,/ingredients/sweet-and-savory-watermelon-recipes-for-summer-article
article,Easy After-School Snacks,These 3-ingredient snacks will keep bellies full until dinnertime.,,,/expert-advice/three-ingredient-after-school-snacks-article
article,3 Rules for Muddling Cocktails,Score muddled drink gold by abiding by these three muddling rules.,,,/expert-advice/muddling-tips-caipirinha-cocktail-article
article,How to Use Your Refrigerator's Crisper Drawer,"To keep your produce fresher, longer, you need to get your flow right.",,,/expert-advice/how-to-use-your-refrigerators-crisper-drawer-article
article,Introducing the Pickled Fried Green Tomato,"When they join forces, two classic Southern sides—fried pickles and fried green tomatoes—are unstoppable.",,,/expert-advice/how-to-make-pickled-fried-green-tomatoes-article
article,6 Easy Recipes for a Relaxed Summer Weekend,"Keep things laid-back with simple, satisfaction-guaranteed dishes.",,,/recipes-menus/simple-summer-weekend-menu-pancakes-steak-pasta-recipes-article
